Step,MeanMyelination,MaxMyelination
227,1.0,1.0
228,1.0,1.0
229,1.0,1.0
230,1.0,1.0
231,1.0,1.0
232,1.0,1.0
233,1.0,1.0
234,1.0,1.0
235,1.0,1.0
236,1.0,1.0
237,1.0,1.0
238,1.0,1.0
239,1.0,1.0
240,1.0,1.0
241,1.0,1.000000238418579
242,1.000000238418579,1.000001311302185
243,1.0000009536743164,1.0000032186508179
244,1.000002145767212,1.0000059604644775
245,1.0000040531158447,1.000009536743164
246,1.0000063180923462,1.0000139474868774
247,1.0000091791152954,1.0000191926956177
248,1.000012755393982,1.0000252723693848
249,1.0000169277191162,1.0000321865081787
250,1.0000219345092773,1.0000399351119995
251,1.0000276565551758,1.0000483989715576
252,1.0000340938568115,1.0000576972961426
253,1.0000413656234741,1.0000678300857544
254,1.000049352645874,1.000078797340393
255,1.0000581741333008,1.0000905990600586
256,1.0000678300857544,1.000103235244751
257,1.0000782012939453,1.0001167058944702
258,1.000089406967163,1.0001310110092163
259,1.0001014471054077,1.0001461505889893
260,1.0001143217086792,1.000162124633789
261,1.0001277923583984,1.0001788139343262
262,1.0001423358917236,1.0001963376998901
263,1.0001574754714966,1.000214695930481
264,1.0001733303070068,1.0002338886260986
265,1.0001901388168335,1.0002539157867432
266,1.000207781791687,1.0002747774124146
267,1.0002261400222778,1.0002964735031128
268,1.000245213508606,1.000319004058838
269,1.00026535987854,1.0003422498703003
270,1.0002861022949219,1.0003663301467896
271,1.0003076791763306,1.0003912448883057
272,1.0003300905227661,1.0004169940948486
273,1.000353217124939,1.0004435777664185
274,1.0003771781921387,1.0004709959030151
275,1.0004020929336548,1.0004992485046387
276,1.0004276037216187,1.0005282163619995
277,1.0004539489746094,1.0005580186843872
278,1.000481128692627,1.0005886554718018
279,1.0005090236663818,1.0006201267242432
280,1.0005378723144531,1.0006524324417114
281,1.0005674362182617,1.000685453414917
282,1.0005978345870972,1.0007193088531494
283,1.000629186630249,1.0007539987564087
284,1.0006611347198486,1.0007895231246948
285,1.000693917274475,1.0008258819580078
286,1.0007274150848389,1.0008630752563477
287,1.000761866569519,1.0009011030197144
288,1.000797152519226,1.000939965248108
289,1.0008330345153809,1.0009796619415283
290,1.0008699893951416,1.0010201930999756
291,1.00090754032135,1.0010615587234497
292,1.000946044921875,1.0011037588119507
293,1.0009852647781372,1.0011467933654785
294,1.0010253190994263,1.0011906623840332
295,1.0010662078857422,1.0012353658676147
296,1.001107931137085,1.0012809038162231
297,1.001150369644165,1.0013272762298584
298,1.0011937618255615,1.0013744831085205
299,1.0012378692626953,1.0014225244522095
300,1.0012826919555664,1.0014714002609253
301,1.0013285875320435,1.001521110534668
302,1.0013751983642578,1.0015716552734375
303,1.001422643661499,1.0016230344772339
304,1.001470923423767,1.0016752481460571
305,1.0015199184417725,1.0017282962799072
306,1.0015697479248047,1.0017821788787842
307,1.0016205310821533,1.001836895942688
308,1.0016719102859497,1.0018924474716187
309,1.0017242431640625,1.0019488334655762
310,1.0017774105072021,1.0020060539245605
311,1.0018314123153687,1.0020642280578613
312,1.001886248588562,1.002123236656189
313,1.0019418001174927,1.0021830797195435
314,1.0019983053207397,1.0022437572479248
315,1.0020555257797241,1.002305269241333
316,1.0021134614944458,1.002367615699768
317,1.0021723508834839,1.00243079662323
318,1.0022320747375488,1.0024948120117188
319,1.002292513847351,1.0025596618652344
320,1.0023536682128906,1.0026253461837769
321,1.0024157762527466,1.0026918649673462
322,1.0024785995483398,1.0027592182159424
323,1.00254225730896,1.0028272867202759
324,1.0026066303253174,1.0028961896896362
325,1.0026718378067017,1.0029659271240234
326,1.0027377605438232,1.003036379814148
327,1.0028043985366821,1.0031076669692993
328,1.0028718709945679,1.003179669380188
329,1.0029401779174805,1.0032525062561035
330,1.0030090808868408,1.0033260583877563
331,1.0030786991119385,1.003400444984436
332,1.003149151802063,1.003475546836853
333,1.0032204389572144,1.0035514831542969
334,1.0032923221588135,1.003628134727478
335,1.0033650398254395,1.003705620765686
336,1.0034384727478027,1.0037838220596313
337,1.0035127401351929,1.0038628578186035
338,1.0035877227783203,1.003942608833313
339,1.003663420677185,1.0040231943130493
340,1.003739833831787,1.004104495048523
341,1.0038169622421265,1.0041865110397339
342,1.0038949251174927,1.0042693614959717
343,1.0039734840393066,1.0043529272079468
344,1.0040528774261475,1.0044372081756592
345,1.004132866859436,1.0045222043991089
346,1.004213571548462,1.004607915878296
347,1.0042952299118042,1.0046943426132202
348,1.0043773651123047,1.0047816038131714
349,1.0044602155685425,1.0048695802688599
350,1.0045437812805176,1.0049582719802856
351,1.0046281814575195,1.0050476789474487
352,1.0047131776809692,1.0051378011703491
353,1.0047990083694458,1.0052286386489868
354,1.0048855543136597,1.0053201913833618
355,1.0049726963043213,1.0054124593734741
356,1.0050605535507202,1.0055054426193237
357,1.0051491260528564,1.0055991411209106
358,1.00523841381073,1.0056935548782349
359,1.0053285360336304,1.0057886838912964
360,1.0054192543029785,1.0058845281600952
361,1.005510687828064,1.005981206893921
362,1.0056028366088867,1.0060786008834839
363,1.0056958198547363,1.0061767101287842
364,1.0057895183563232,1.0062755346298218
365,1.005883812904358,1.0063751935958862
366,1.0059789419174194,1.006475567817688
367,1.0060747861862183,1.006576657295227
368,1.006171464920044,1.006678581237793
369,1.0062686204910278,1.0067812204360962
370,1.0063667297363281,1.0068846940994263
371,1.0064655542373657,1.0069890022277832
372,1.0065652132034302,1.0070940256118774
373,1.0066657066345215,1.0071998834609985
374,1.0067667961120605,1.0073065757751465
375,1.0068687200546265,1.0074139833450317
376,1.0069714784622192,1.0075222253799438
377,1.0070749521255493,1.0076313018798828
378,1.0071791410446167,1.007741093635559
379,1.0072840452194214,1.0078516006469727
380,1.007389783859253,1.0079628229141235
381,1.0074961185455322,1.0080748796463013
382,1.0076031684875488,1.0081876516342163
383,1.0077109336853027,1.0083011388778687
384,1.007819652557373,1.0084153413772583
385,1.0079288482666016,1.0085302591323853
386,1.0080389976501465,1.0086458921432495
387,1.00814950466156,1.0087623596191406
388,1.00826096534729,1.008879542350769
389,1.0083731412887573,1.0089974403381348
390,1.0084859132766724,1.0091160535812378
391,1.0085994005203247,1.0092353820800781
392,1.008713722229004,1.0093554258346558
393,1.0088286399841309,1.0094763040542603
394,1.0089443922042847,1.0095980167388916
395,1.0090606212615967,1.0097204446792603
396,1.009177565574646,1.0098435878753662
397,1.0092954635620117,1.0099674463272095
398,1.0094138383865356,1.01009202003479
399,1.0095330476760864,1.010217308998108
400,1.009652853012085,1.010343313217163
401,1.0097734928131104,1.0104700326919556
402,1.009894609451294,1.0105974674224854
403,1.010016679763794,1.0107256174087524
404,1.0101392269134521,1.0108544826507568
405,1.0102626085281372,1.010984182357788
406,1.0103868246078491,1.0111145973205566
407,1.0105117559432983,1.0112457275390625
408,1.0106374025344849,1.0113775730133057
409,1.0107635259628296,1.0115101337432861
410,1.0108906030654907,1.0116435289382935
411,1.0110182762145996,1.011777639389038
412,1.0111467838287354,1.01191246509552
413,1.0112760066986084,1.0120480060577393
414,1.0114059448242188,1.0121842622756958
415,1.0115364789962769,1.0123212337493896
416,1.0116678476333618,1.0124588012695312
417,1.0117998123168945,1.0125970840454102
418,1.011932611465454,1.0127360820770264
419,1.0120660066604614,1.0128757953643799
420,1.0122002363204956,1.0130162239074707
421,1.0123350620269775,1.0131573677062988
422,1.0124707221984863,1.0132992267608643
423,1.0126069784164429,1.013441801071167
424,1.0127439498901367,1.013585090637207
425,1.0128817558288574,1.0137290954589844
426,1.0130200386047363,1.0138736963272095
427,1.0131590366363525,1.0140190124511719
428,1.013298749923706,1.0141650438308716
429,1.0134391784667969,1.0143117904663086
430,1.0135804414749146,1.014459252357483
431,1.0137220621109009,1.014607310295105
432,1.0138646364212036,1.0147560834884644
433,1.014007806777954,1.0149054527282715
434,1.0141515731811523,1.015055537223816
435,1.0142961740493774,1.0152063369750977
436,1.0144412517547607,1.0153577327728271
437,1.014587163925171,1.015509843826294
438,1.0147335529327393,1.0156625509262085
439,1.0148807764053345,1.0158159732818604
440,1.015028476715088,1.01596999168396
441,1.0151770114898682,1.0161247253417969
442,1.0153261423110962,1.016280174255371
443,1.0154759883880615,1.016436219215393
444,1.0156264305114746,1.0165929794311523
445,1.015777587890625,1.0167503356933594
446,1.0159293413162231,1.0169084072113037
447,1.0160818099975586,1.0170670747756958
448,1.0162349939346313,1.0172264575958252
449,1.0163888931274414,1.017386555671692
450,1.0165431499481201,1.0175472497940063
451,1.0166983604431152,1.017708659172058
452,1.0168540477752686,1.0178706645965576
453,1.0170104503631592,1.0180333852767944
454,1.0171674489974976,1.018196702003479
455,1.0173252820968628,1.0183607339859009
456,1.0174835920333862,1.0185253620147705
457,1.017642617225647,1.0186907052993774
458,1.017802357673645,1.0188566446304321
459,1.0179626941680908,1.0190232992172241
460,1.018123745918274,1.0191905498504639
461,1.0182853937149048,1.019358515739441
462,1.018447756767273,1.0195270776748657
463,1.0186105966567993,1.0196963548660278
464,1.018774390220642,1.0198662281036377
465,1.0189385414123535,1.0200368165969849
466,1.0191035270690918,1.0202080011367798
467,1.0192691087722778,1.020379900932312
468,1.0194354057312012,1.020552396774292
469,1.0196022987365723,1.0207256078720093
470,1.0197699069976807,1.0208994150161743
471,1.0199382305145264,1.0210739374160767
472,1.0201069116592407,1.0212491750717163
473,1.0202765464782715,1.0214250087738037
474,1.02044677734375,1.0216015577316284
475,1.0206177234649658,1.0217788219451904
476,1.0207892656326294,1.0219566822052002
477,1.0209615230560303,1.022135615348816
478,1.0211344957351685,1.022315502166748
479,1.0213080644607544,1.0224961042404175
480,1.021482229232788,1.0226774215698242
481,1.0216573476791382,1.0228594541549683
482,1.0218329429626465,1.0230422019958496
483,1.022009253501892,1.0232255458831787
484,1.022186279296875,1.0234096050262451
485,1.0223639011383057,1.0235943794250488
486,1.0225422382354736,1.0237797498703003
487,1.0227211713790894,1.023965835571289
488,1.0229008197784424,1.0241525173187256
489,1.0230813026428223,1.0243399143218994
490,1.0232622623443604,1.024527907371521
491,1.0234439373016357,1.0247166156768799
492,1.0236263275146484,1.0249059200286865
493,1.0238094329833984,1.0250959396362305
494,1.0239930152893066,1.0252865552902222
495,1.0241775512695312,1.0254778861999512
496,1.0243628025054932,1.0256699323654175
497,1.0245485305786133,1.0258625745773315
498,1.0247350931167603,1.026055932044983
499,1.0249223709106445,1.026249885559082
500,1.0251103639602661,1.0264445543289185
501,1.0252989530563354,1.0266398191452026
502,1.0254883766174316,1.0268357992172241
503,1.0256786346435547,1.027032494544983
504,1.025869369506836,1.0272297859191895
505,1.0260610580444336,1.0274277925491333
506,1.0262532234191895,1.0276265144348145
507,1.0264463424682617,1.027825951576233
508,1.0266400575637817,1.0280261039733887
509,1.026834487915039,1.0282270908355713
510,1.0270297527313232,1.0284287929534912
511,1.0272256135940552,1.0286312103271484
512,1.0274221897125244,1.028834342956543
513,1.02761971950531,1.0290381908416748
514,1.027817726135254,1.029242753982544
515,1.0280165672302246,1.0294480323791504
516,1.0282161235809326,1.0296540260314941
517,1.028416395187378,1.0298607349395752
518,1.0286171436309814,1.0300681591033936
519,1.0288188457489014,1.0302762985229492
520,1.0290212631225586,1.0304851531982422
521,1.029224157333374,1.0306947231292725
522,1.0294278860092163,1.03090500831604
523,1.029632329940796,1.031116008758545
524,1.0298373699188232,1.0313276052474976
525,1.030043125152588,1.0315399169921875
526,1.0302497148513794,1.0317529439926147
527,1.0304569005966187,1.0319666862487793
528,1.0306648015975952,1.0321811437606812
529,1.0308735370635986,1.0323963165283203
530,1.0310827493667603,1.0326122045516968
531,1.0312929153442383,1.032828688621521
532,1.0315035581588745,1.0330458879470825
533,1.0317150354385376,1.0332638025283813
534,1.031927227973938,1.0334824323654175
535,1.0321401357650757,1.033701777458191
536,1.0323537588119507,1.0339218378067017
537,1.032568097114563,1.0341426134109497
538,1.032783031463623,1.034364104270935
539,1.0329989194869995,1.0345863103866577
540,1.0332154035568237,1.0348092317581177
541,1.0334327220916748,1.035032868385315
542,1.0336506366729736,1.0352572202682495
543,1.0338692665100098,1.0354822874069214
544,1.0340886116027832,1.0357080698013306
545,1.034308671951294,1.035934567451477
546,1.0345295667648315,1.0361617803573608
547,1.034751057624817,1.0363895893096924
548,1.03497314453125,1.0366181135177612
549,1.035196304321289,1.0368473529815674
550,1.0354199409484863,1.0370773077011108
551,1.035644292831421,1.0373079776763916
552,1.0358693599700928,1.0375393629074097
553,1.036095142364502,1.037771463394165
554,1.0363215208053589,1.0380042791366577
555,1.0365487337112427,1.0382378101348877
556,1.0367766618728638,1.038472056388855
557,1.0370054244995117,1.0387070178985596
558,1.0372346639633179,1.0389426946640015
559,1.0374646186828613,1.0391790866851807
560,1.037695288658142,1.0394161939620972
561,1.0379267930984497,1.039654016494751
562,1.038158893585205,1.0398924350738525
563,1.0383918285369873,1.0401315689086914
564,1.0386252403259277,1.0403714179992676
565,1.0388593673706055,1.040611982345581
566,1.0390944480895996,1.0408531427383423
567,1.0393298864364624,1.0410950183868408
568,1.0395660400390625,1.041337490081787
569,1.0398030281066895,1.0415806770324707
570,1.0400406122207642,1.041824460029602
571,1.0402789115905762,1.0420689582824707
572,1.040517807006836,1.042314052581787
573,1.0407575368881226,1.0425598621368408
574,1.0409977436065674,1.0428062677383423
575,1.0412386655807495,1.0430532693862915
576,1.041480302810669,1.043300986289978
577,1.0417225360870361,1.0435492992401123
578,1.0419657230377197,1.0437983274459839
579,1.0422091484069824,1.0440480709075928
580,1.042453646659851,1.0442984104156494
581,1.042698621749878,1.0445494651794434
582,1.042944312095642,1.0448012351989746
583,1.0431907176971436,1.0450537204742432
584,1.0434377193450928,1.045306921005249
585,1.0436855554580688,1.0455607175827026
586,1.0439341068267822,1.0458152294158936
587,1.0441832542419434,1.0460704565048218
588,1.0444331169128418,1.0463263988494873
589,1.044683575630188,1.0465830564498901
590,1.044934868812561,1.0468403100967407
591,1.045186996459961,1.0470982789993286
592,1.045439600944519,1.0473570823669434
593,1.045693039894104,1.0476166009902954
594,1.0459473133087158,1.0478768348693848
595,1.0462021827697754,1.0481377840042114
596,1.0464577674865723,1.0483994483947754
597,1.0467140674591064,1.0486618280410767
598,1.046971082687378,1.0489249229431152
599,1.0472289323806763,1.0491887331008911
600,1.0474872589111328,1.0494532585144043
601,1.0477466583251953,1.0497184991836548
602,1.048006534576416,1.0499844551086426
603,1.0482672452926636,1.0502511262893677
604,1.0485286712646484,1.05051851272583
605,1.0487908124923706,1.0507867336273193
606,1.04905366897583,1.051055669784546
607,1.0493173599243164,1.0513253211975098
608,1.04958176612854,1.0515958070755005
609,1.0498470067977905,1.0518674850463867
610,1.0501129627227783,1.0521410703659058
611,1.0503795146942139,1.052415370941162
612,1.0506469011306763,1.0526903867721558
613,1.050915002822876,1.0529661178588867
614,1.0511839389801025,1.053242564201355
615,1.0514535903930664,1.0535197257995605
616,1.051723837852478,1.0537976026535034
617,1.0519949197769165,1.0540761947631836
618,1.0522667169570923,1.054355502128601
619,1.0525391101837158,1.0546356439590454
620,1.0528123378753662,1.0549163818359375
621,1.0530861616134644,1.055197834968567
622,1.0533607006072998,1.0554800033569336
623,1.0536359548568726,1.0557628870010376
624,1.0539119243621826,1.056046485900879
625,1.0541884899139404,1.0563308000564575
626,1.0544657707214355,1.0566157102584839
627,1.054743766784668,1.0569013357162476
628,1.0550224781036377,1.057187557220459
629,1.0553016662597656,1.0574743747711182
630,1.0555816888809204,1.057761788368225
631,1.0558621883392334,1.0580496788024902
632,1.0561434030532837,1.0583381652832031
633,1.0564253330230713,1.0586271286010742
634,1.0567076206207275,1.058916687965393
635,1.0569908618927002,1.0592067241668701
636,1.0572744607925415,1.0594972372055054
637,1.0575587749481201,1.0597882270812988
638,1.0578436851501465,1.0600796937942505
639,1.0581293106079102,1.0603716373443604
640,1.058415412902832,1.0606640577316284
641,1.0587018728256226,1.0609569549560547
642,1.058989405632019,1.0612503290176392
643,1.059277057647705,1.0615441799163818
644,1.0595656633377075,1.0618385076522827
645,1.0598546266555786,1.0621331930160522
646,1.0601441860198975,1.0624282360076904
647,1.060434341430664,1.0627236366271973
648,1.0607249736785889,1.0630193948745728
649,1.0610162019729614,1.0633153915405273
650,1.0613079071044922,1.0636117458343506
651,1.0615999698638916,1.063908338546753
652,1.0618927478790283,1.0642051696777344
653,1.0621857643127441,1.064502239227295
654,1.0624792575836182,1.0647995471954346
655,1.0627732276916504,1.0650970935821533
656,1.0630675554275513,1.0653947591781616
657,1.0633622407913208,1.065692663192749
658,1.0636574029922485,1.065990686416626
659,1.063952922821045,1.066288948059082
660,1.06424880027771,1.0665873289108276
661,1.064544916152954,1.0668858289718628
662,1.0648415088653564,1.0671844482421875
663,1.0651382207870483,1.0674831867218018
664,1.0654351711273193,1.0677820444107056
665,1.0657325983047485,1.068081021308899
666,1.0660302639007568,1.0683801174163818
667,1.0663281679153442,1.0686793327331543
668,1.0666263103485107,1.0689786672592163
669,1.0669245719909668,1.0692780017852783
670,1.0672231912612915,1.0695774555206299
671,1.0675218105316162,1.069877028465271
672,1.06782066822052,1.070176601409912
673,1.068119764328003,1.0704762935638428
674,1.0684189796447754,1.0707759857177734
675,1.0687181949615479,1.071075677871704
676,1.0690175294876099,1.0713753700256348
677,1.0693169832229614,1.071675181388855
678,1.0696165561676025,1.0719749927520752
679,1.0699161291122437,1.0722748041152954
680,1.0702158212661743,1.0725747346878052
681,1.070515513420105,1.072874665260315
682,1.0708152055740356,1.0731745958328247
683,1.071115255355835,1.0734745264053345
684,1.0714149475097656,1.0737744569778442
685,1.071714997291565,1.074074387550354
686,1.0720148086547852,1.0743743181228638
687,1.0723148584365845,1.0746742486953735
688,1.0726146697998047,1.0749741792678833
689,1.072914719581604,1.075274109840393
690,1.0732146501541138,1.0755741596221924
691,1.073514699935913,1.0758742094039917
692,1.0738147497177124,1.076174259185791
693,1.0741146802902222,1.0764743089675903
694,1.0744147300720215,1.0767743587493896
695,1.0747147798538208,1.077074408531189
696,1.0750148296356201,1.0773744583129883
697,1.0753148794174194,1.0776745080947876
698,1.0756148099899292,1.077974557876587
699,1.0759148597717285,1.0782746076583862
700,1.0762149095535278,1.0785746574401855
701,1.0765150785446167,1.0788747072219849
702,1.0768150091171265,1.0791747570037842
703,1.0771151781082153,1.0794748067855835
704,1.0774152278900146,1.0797748565673828
705,1.077715277671814,1.0800749063491821
706,1.0780152082443237,1.0803749561309814
707,1.078315258026123,1.0806750059127808
708,1.0786153078079224,1.08097505569458
709,1.0789154767990112,1.0812751054763794
710,1.079215407371521,1.0815751552581787
711,1.0795155763626099,1.081875205039978
712,1.0798156261444092,1.0821752548217773
713,1.0801156759262085,1.0824753046035767
714,1.0804156064987183,1.082775354385376
715,1.0807156562805176,1.0830754041671753
716,1.081015706062317,1.0833754539489746
717,1.0813158750534058,1.083675503730774
718,1.0816158056259155,1.0839755535125732
719,1.0819159746170044,1.0842756032943726
720,1.0822160243988037,1.0845756530761719
721,1.082516074180603,1.0848757028579712
722,1.0828160047531128,1.0851757526397705
723,1.083116054534912,1.0854758024215698
724,1.0834161043167114,1.0857758522033691
725,1.0837162733078003,1.0860759019851685
726,1.08401620388031,1.0863759517669678
727,1.084316372871399,1.086676001548767
728,1.0846164226531982,1.0869760513305664
729,1.0849164724349976,1.0872761011123657
730,1.0852164030075073,1.087576150894165
731,1.0855164527893066,1.0878762006759644
732,1.085816502571106,1.0881762504577637
733,1.0861166715621948,1.088476300239563
734,1.0864166021347046,1.0887763500213623
735,1.0867167711257935,1.0890763998031616
736,1.0870168209075928,1.089376449584961
737,1.087316870689392,1.0896764993667603
738,1.0876168012619019,1.0899765491485596
739,1.0879168510437012,1.0902765989303589
740,1.0882169008255005,1.0905766487121582
741,1.0885170698165894,1.0908766984939575
742,1.0888170003890991,1.0911767482757568
743,1.089117169380188,1.0914767980575562
744,1.0894172191619873,1.0917768478393555
745,1.0897172689437866,1.0920768976211548
746,1.0900171995162964,1.092376947402954
747,1.0903172492980957,1.0926769971847534
748,1.090617299079895,1.0929770469665527
749,1.0909174680709839,1.093277096748352
750,1.0912173986434937,1.0935771465301514
751,1.0915175676345825,1.0938771963119507
752,1.0918176174163818,1.09417724609375
753,1.0921176671981812,1.0944772958755493
754,1.092417597770691,1.0947773456573486
755,1.0927176475524902,1.095077395439148
756,1.0930176973342896,1.0953774452209473
757,1.0933178663253784,1.0956774950027466
758,1.0936177968978882,1.095977544784546
759,1.093917965888977,1.0962775945663452
760,1.0942180156707764,1.0965776443481445
761,1.0945180654525757,1.0968776941299438
762,1.0948179960250854,1.0971777439117432
763,1.0951180458068848,1.0974777936935425
764,1.095418095588684,1.0977778434753418
765,1.095718264579773,1.0980778932571411
766,1.0960181951522827,1.0983779430389404
767,1.0963183641433716,1.0986779928207397
768,1.096618413925171,1.098978042602539
769,1.0969184637069702,1.0992780923843384
770,1.09721839427948,1.0995781421661377
771,1.0975184440612793,1.099878191947937
772,1.0978184938430786,1.1001782417297363
773,1.0981186628341675,1.1004782915115356
774,1.0984185934066772,1.100778341293335
775,1.0987187623977661,1.1010783910751343
776,1.0990188121795654,1.1013784408569336
777,1.0993188619613647,1.101678490638733
778,1.0996187925338745,1.1019785404205322
779,1.0999188423156738,1.1022785902023315
780,1.1002188920974731,1.1025786399841309
781,1.100519061088562,1.1028786897659302
782,1.1008189916610718,1.1031787395477295
783,1.1011191606521606,1.1034787893295288
784,1.10141921043396,1.1037788391113281
785,1.1017192602157593,1.1040788888931274
786,1.102019190788269,1.1043789386749268
787,1.1023192405700684,1.104678988456726
788,1.1026192903518677,1.1049790382385254
789,1.1029194593429565,1.1052790880203247
790,1.1032193899154663,1.105579137802124
791,1.1035195589065552,1.1058791875839233
792,1.1038196086883545,1.1061792373657227
793,1.1041196584701538,1.106479287147522
794,1.1044195890426636,1.1067793369293213
795,1.104719638824463,1.1070793867111206
796,1.1050196886062622,1.10737943649292
797,1.105319857597351,1.1076794862747192
798,1.1056197881698608,1.1079795360565186
799,1.1059199571609497,1.1082795858383179
800,1.106220006942749,1.1085796356201172
801,1.1065200567245483,1.1088796854019165
802,1.106819987297058,1.1091797351837158
803,1.1071200370788574,1.1094797849655151
804,1.1074200868606567,1.1097798347473145
805,1.1077202558517456,1.1100798845291138
806,1.1080201864242554,1.110379934310913
807,1.1083203554153442,1.1106799840927124
808,1.1086204051971436,1.1109800338745117
809,1.1089204549789429,1.111280083656311
810,1.1092203855514526,1.1115801334381104
811,1.109520435333252,1.1118801832199097
812,1.1098204851150513,1.112180233001709
813,1.1101206541061401,1.1124802827835083
814,1.11042058467865,1.1127803325653076
815,1.1107207536697388,1.113080382347107
816,1.111020803451538,1.1133804321289062
817,1.1113208532333374,1.1136804819107056
818,1.1116207838058472,1.1139805316925049
819,1.1119208335876465,1.1142805814743042
820,1.1122208833694458,1.1145806312561035
821,1.1125210523605347,1.1148806810379028
822,1.1128209829330444,1.1151807308197021
823,1.1131211519241333,1.1154807806015015
824,1.1134212017059326,1.1157808303833008
825,1.113721251487732,1.1160808801651
826,1.1140211820602417,1.1163809299468994
827,1.114321231842041,1.1166809797286987
828,1.1146212816238403,1.116981029510498
829,1.1149214506149292,1.1172810792922974
830,1.115221381187439,1.1175811290740967
831,1.1155215501785278,1.117881178855896
